SupplierID	Prod_ID	product_id	Level
Symantec	10322651-NL	131645	0
APC	SUA750I	123326	1
Maxtor	8D073J0	102076	1
Maxtor	6B300S0	111627	1
Nashua	N2094-010-4S	118455	0
Iiyama	E435S-B	134091	1
Iiyama	C510T	134137	1
Samsung	LE17KSBBQ	102782	1
Samsung	MH17ASSS	80682	1
Logitech	967353-0100	54915	1
Logitech	967545-0100	133551	1
Logitech	961372-0914	126489	1
Logitech	931171-0914	120348	1
Logitech	963257-0909	8414	1
Logitech	970114-0914	124616	1
Toshiba	INSURA1NL-P	55538	2
Toshiba	PSA72E-00Y021DU	134372	2
Toshiba	PA3381E-1ACA	102710	2
HP	C9031B	123695	2
HP	Q5437A	49855	2
HP	FA130A	55624	2
HP	L1750A	128031	2
HP	PN240AA	129687	2
HP	P9611A#ABB	73230	2
HP	L1915A	111843	2
HP	Q5552B	134873	2
HP	Q5962A	134277	2
HP	C9368AE	111831	2
HP	P8717AA#ABB	129498	2
HP	Y1789B	43260	2
HP	L1825A	125053	2
Pelikan	345875	135241	0
Western digital	WD740GDRTL2	130300	1
Microsoft	844-00566	52478	1
Microsoft	BX1-00011	112132	1
Microsoft	A9O-00005	128986	0
Microsoft	503-00276	53237	1
Newstar	PLASMA-W200	114065	0
Newstar	NS411K	138542	0
Newstar	NS-USB421A	118784	0
Philips	MMS222/00C	120409	1
Philips	PCVC840K	54027	1
Philips	CPWNA100/00	96929	1
Targus	DPMC03	47013	1
Targus	PAUK10E	42421	1
Targus	PAUH212EU	95359	1
Targus	PA492E	42427	1
Targus	PAUM01E	38258	1
Targus	EB1T97	53878	1
Targus	TCG417	128943	1
Fellowes	9996507	144905	0
Dymo	16462	141318	0
Supermicro	CSE-933S2-R760/B	124731	0
Cherry	G83-6105LPNBE	90461	1
Lexmark	18L0032	20245	1
Aopen	91.97420.B17	134556	0
Imation	20620	130033	0
Imation	11916	82555	1
Creative Labs	5002010000033	78716	1
Creative Labs	51MZ0010AA003	71371	0
Creative Labs	73VF008000005	129391	0
Creative Labs	73PF120100004	130904	1
Creative Labs	70SB035002007	124892	1
Creative Labs	7000000002167	52256	0
Canon	9871A002AA	122464	1
Canon	9016A032	127796	0
Canon	9319A017AA	123834	1
Canon	1029A002AA	21023	1
Canon	9686A011AA	125521	1
Pinnacle	202262038	126836	1
Pinnacle	202262073	126456	1
Pinnacle	202262056	129661	0
LG	L1930B	131362	1
Pioneer	PDP-43MXE1-S	121922	1
Sony	MSX512S	129128	1
Sony	VGNT1XP/L.CEZ	128907	0
Sony	VPL-CX70	124960	1
Sony	USM128MS	72141	1
Sony	4CDMARKER-BT	108549	1
Sony	PCGAAC19V3.CEL	30051	1
Sony	NW-HD1	138348	0
Sony	DRU710A	140785	0
Sony	PCGEVPW2	95761	0
Sony	10MFD	107527	1
