cat	cat	supplier	num	data1	data2	prod_id
Audio & Multimedia	Accessoires	Creative	60302	CreativeMT1200 Floorstand Pair	Suitable for all 5.1 speakers	51MZ0010AA003
Audio & Multimedia	Accessoires	Fellowes	73453	Fellowes MP3 mini-Armband	BodyGlove MiniBag black/silver	75547
Audio & Multimedia	Geluidskaarten	Creative	80741	Creative SB Audigy 2 ZS	Retail, Platinum	70SB035002007
Audio & Multimedia	Headsets & microfoons	Philips	69729	Philips Headset Sport	Reflecting, ultra light	SBCHS520/00
Audio & Multimedia	Headsets & microfoons	Sennheiser	74544	Sennheiser PC150 Headset	incl. microphone	PC150
Audio & Multimedia	Headsets & microfoons	Creative	78220	Creative backphone HS-300	Headset	5002010000033
Audio & Multimedia	Headsets & microfoons	Plantronics	78668	Plantronics Stereo Headset	Audio 60, incl. microphone	PLX-36968-02
Audio & Multimedia	Headsets & microfoons	Zalman	79572	Zalman ZM-RS6F+M	Incl. 5.1 Surround Headphones	ZM-R56FM
Audio & Multimedia	Kabels	A-merk	24555	Mini-jack/2 x Tulp Female 0.2m	AV	1103.4020I
Audio & Multimedia	Kabels	Digiconnect	64004	Audio Extention Cable RCA 10m	2xRCA M - 2xRCA F. A11	A-607311
Audio & Multimedia	MP3-Spelers	Apacer	75310	Apacer Audio Steno MP3-player	AP510, 256MB with speaker	AP510
Audio & Multimedia	MP3-Spelers	Sony	75504	Sony NW-HD1 Mp3 Player	Portable Hard Disk Walkman	NW-HD1
Audio & Multimedia	MP3-Spelers	MSI	77796	MSI MegaView 561, 20GB,	Mpeg4 player,mp3,3.5" TFT LCD	MEGAVIEW561
Audio & Multimedia	MP3-Spelers	iriver	79943	Iriver IFP-999, 1GB MP3,	1,2 LCD,FM,WMA, Li-ion bat	IFP-999
Audio & Multimedia	MP3-Spelers	Creative	80899	Creative MuVo V200 MP3	256 MB	73PF120100004
Audio & Multimedia	Speakers	Philips	74940	Philips MMS 222/00C	6 Watt RMS, Graphite	MMS222/00C
Audio & Multimedia	Speakers	Logitech	76099	Logitech X-530	5.1 speakers	970114-0914
Audio & Multimedia	Webcams	Philips	48397	Philips Webcam ToUcam PRO II	USB Webcam, CIF 60 fr, mic.	PCVC840K
Audio & Multimedia	Webcams	Logitech	78713	Logitech Quickcam Zoom	Retail	961372-0914
Audio & Multimedia	Webcams	Creative	80901	Creative Webcam Live Pro	 	73VF008000005
Basisonderdelen	Controllers	A-merk	27422	Multi I/O PCI card 2xSer+1xPar	Extra Com-port	22086
Basisonderdelen	Controllers	ASUS	41646	ASUS Firewire card PCI OEM	1 external ports, 1 internal	90-CITA90-00UBN
